id	Newspaper_Title	Infection_Location	Infect_Lat_Long	Reporting_Location	Report_Lat_Long	Date	Link	Translation	Language	Tags_Keywords	Image_Link
144	Le Petit Journal	Paris				1890-01-02T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k610364z/f3.zoom.r=l%27influenza%20la%20AND%20grippe%20.langEN	LE PETIT JOURNAL     The situation remains very much the same. While the epidemic grows smaller in one town, it seems to make an appearance in another, all the while remaining benign. Nowhere are there signals of an alarming increase in the mortality rate.     In Nimes, the sickness is hitting with somewhat more force. The [governmental] administrations are affected, and the majority of (social) services are hindered (as a result). Railway workers are not being spared either. We have counted two sick employees out of ten. The prefect of Gard, Mr. Vatin, himself very sick, is bedridden. He did not have a New Years Day reception. In Vannes, official receptions had to also be ajourned, the prefect also being stricken with influenza. At the military hospital in Vernon, doctors and volunteering nuns have been affected. In several places, everyone has been more or less touched by the influenza, but report no serious cases thus far.     The influenza has made an appearance in Draguinan. We can currently count a large number of people affected by this illness which has spread throughout the entire [administrative] department of Var.                 The influenza has been felt just as equally in Tunis, as telegraphed to us by our correspondents in that city. A very large number of people have been taken ill. Even the weather is cold and wet.			
145	Intelligenzblatt und Berner Stadtblatt	London; Madrid; Brussels; Paris		Bern		1890-01-03T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Telegram. London, 1 Jan. The diplomatic corps is very ill with the influenza. Salisbury is, as they say, will  take a trip abroad immediately after his recovery. Madrid, 1 January. The influenza  has increased again. Yesterday 200 had died. The hospitals are crowded. Brussels, 1 Jan. The Count and Countess of Flanders are infected with the influenza.  Paris, 2 Jan. The messages from Paris show that the province and the foreign countries seem to be at a standstill. The urban statistics count 2334 deaths for the elapsed week. The increase in the mortality rate is due exclusively to the development of illnesses of the respiratory organs and the chronically ill.  The number of deaths from this cause particularly has quadrupled. 22 have died alone from the influenza and its consequences.	German	diplomat, Salisbury, mortality, Count of Flanders	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/03/4/Ar00405.xml&CollName=ISB_1881_1890&DOCID=115478&PageLabelPrint=4&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=30&ViewMode=HTML
146	La Lanterne	Paris				1890-01-03T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k7505367c	WEEKLY PARIS STATISTICS The municipal statistics service has counted during the last week of 1889, a total of 2,334 deceased.  This elevated mortality is due exclusively to maladies of respiratory organs and to chronic maladies leading fatally to death (consumption, heart disease, etc.), but that are suddenly aggravated.  There are only 22 deaths that are attributed to the flu or its results.  But pneumonia, which, in the corresponding year of 1888 had only caused 67 deaths, had caused 346 this week; acute bronchitis, 131 (instead of 42 in 1888); chronic bronchitis, 127 (instead of 47 in 1888); broncho-pneumonia, 138 (instead of 27 in 1888).  In summary, inflammatory respiratory diseases caused the elevated number of 742 deaths instead of around 200, the ordinary number at this time of year.			
147	La Lanterne	Paris 				1890-01-03T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k7505367c	THE EPIDEMIC In Paris, outside Paris, and abroad In Paris, the situation is approximately the same.  The epidemic still strikes with severity.  The maladies that derived from it or to which it gives a particular character of gravity caused a very large number of deaths as well as the number that you will see lower in the weekly statistics. In Vannes (From a correspondent) Vannes, January 1. - The official receptions of the prefecture could not take place, the prefect being infected by influenza.  The other receptions took place without incident. In Spain (From a correspondent) Madrid, January 1. - The epidemic continues to grow in Madrid and in the provinces.  The tenor Gayarré is still in a grave state.  An abundant snow fell today in Madrid; the temperature is mild and we hope for an improvement in the sanitary state.  The hospitals are absolutely packed.  Special doctors' services have been established.  Several theaters are closed temporarily.  A subscription is open in favor of the poor classes. In Belgium (From a correspondent) Bruxelles, January 1. - The countess of Flanders has had a relapse of influenza.  The count is equally infected with the sickness. In England London, January 1. - The diplomatic body is particularly tried by the influenza.  The count Haizfeld, ambassador of Germany, was the first attacked: he has been in bed for fifteen days.  A large number of other prominent diplomats are equally infected.			
148	El Siglo Diez Y Nuevo	Mexico City				1890-01-03T00:00:00Z	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Newspaper%20Sources/Spanish/Latin%20American%20Newspapers%20from%20Readex/ElSigloDiezNuevo%201890Jan3p2.pdf				
149	Freiburg Nachrichten	Paris; Freiburg		Freiburg		1890-01-04T00:00:00Z		France. In this land it seems the peaceful mood is making progress. A few weeks ago because of his illness Carnot has replied to an old aquaintance of his family, whom he met in provincial business, when the visitor opined, regarding the blossoming of the shops since the exhibition, that everything is very good, if only there is no war: "The war is unlikely, for each and everyone completely unlikely.   Influenza. As shared with us from Tafers (a province in Switzerland), the influenza has also strongly gripped many communities in the district of Sense.  For the influenza or other illnesses, in which the appetite and the strength is lost, we can best recommend a cure with the genuine Eisen cognac of Colleiz, the efficacy of which is proved sufficient through the shining results, the same results were obtained  in the last 16 years. Excellent strength and means of recovery. The only one rewarded in Paris in 1889 and Barcelona in 1888 and which was decorated with 19 other diplomas and medals. One wantsonly the genuine Eisen cognac in all apothecaries and good drug stores and know that allother products, which don't carry the well-known logo of the Two Palms, are imitations.Main depot: Apothecary Golliez in Murten has flasks for 2,50 francs and most apothecaries will have it for 5 francs.  	German	Carnot, remedy, drug, advertisement	http://doc.rero.ch/record/139128/files/1890-01-04.pdf
150	Intelligenzblatt und Berner Stadtblatt	Zurich		Bern		1890-01-04T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Theater. The musicians muttered something about the influenza and walked out, calmly packing their instruments.	German	theater	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/04/3/Ar00300.xml&CollName=ISB_1881_1890&DOCID=115510&PageLabelPrint=3&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=30&ViewMode=HTML
151	Intelligenzblatt und Berner Stadtblatt	France		Bern		1890-01-04T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	City of Bern. Once again about the influenza. The French bacteriologist Bouchard explained the difference between the "Dengue" and the influenza , the former is an epidemic, the latter is a pandemic illness, meaning it seizes simultaneously a large number of men from a wide area, without being transmitted by infection. Bouchard does not believe, that the influenza has a specific bacillus;  an otherwise innocuous, but a bacillus which lives in humans could through an atmospheric change become dangerous and create an illness.  Professor Proust, director of the Public Health Service in Paris, writes in a report to the Minister Constans of the worsening of fatalities caused by the influenza and the imprudence of this, that people, which suffer from the influenza, and despite this return to their businesses, too early suffer or expose themselves to the cold.	German	Bouchard, Dengue fever, Proust, health deapartment, bacteria	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/04/3/Ar00309.xml&CollName=ISB_1881_1890&DOCID=115514&PageLabelPrint=3&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=30&ViewMode=HTML
152	La Lanterne	Paris				1890-01-04T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k7505368s.r=epidemie.langEN	INFLUENZA IN THE PALACE  The 2nd chamber of the court of appeals could not meet today, no lawyer presenting himself to the bar.  Without a doubt New Year's parties are good for something during this lawyers' strike; but the influenza must also be accused.  It comes again to take two victims in the world of the Palace.  We announce the death of M. Améline de la Briselaine, lawyer in the Paris court, former cabinet chief of M. Louvet, minister of the empire, former secretary of the commission of inquiry for the working class of the National Assembly. We also announce the death of M. Collet-Cobinière, lawyer in the Paris court, former secretary of M. Lenté.  M. Collet-Cobinière, who had belonged to the judiciary press for a long time, had nothing but friends in the Bar, where his talent and his personality were appreciated by all.			
153	La Lanterne	Paris				1890-01-04T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k7505368s	THE EPIDEMIC THE SITUATION APPEARS TO IMPROVE In Paris. - In the hospitals. - In Saint-Cyr. - In the North. - In Marseille. - Foreign administrations. The situation is still rather grave in the hospitals and hospices in Paris and in the suburbs where there no longer remains more than one current hour, even one fixed bed, or extra person available. Each morning, at the consultation of the medical services, the chiefs of service having several beds left vacant during the day at their disposal, see themselves under obligation to make a veritable selection among the very numerous candidates who present themselves at the entrance, and to only admit, for lack of space, the most gravely infected sick people and the most needy. Yet, even though the number of sick is still considerable, it is easy to note a slight improvement in the general state. In the majority of administrations, in effect, the personnel have returned, almost restarting their service completely. The Saint-Cyriens The re-entry of the students of the military school of Saint-Cyr, which had to occur last Sunday, is postponed starting now until the following Sunday January 12. In Bourges In Bourges, numerous cases were reported at the large diocesan seminary, which was dismissed immediately.  The official world has also been fairly well-tried; Mr. Marchai, archbishop of Bourges, had to give up receiving the first day of the year; the prosecutor general, hit since fifteen days ago, could not receive it either.  Finally the prefect, rather gravely infected, and who also had his three sick children, also had to give up receiving January 1.  The secretary general of the prefecture, the vice president of the Prefecture Council, a wildlife inspector, etc., are sick.  However, save two or three already aged persons, the epidemic has not yet caused deaths. In Brest In Brest, the dry and severe temperature seems to contribute to a resurgence of the flu epidemic.  The entries to the maritime hospital have noticeably increased.  The sanitary state of the garrison and the flotilla crew is nonetheless satisfactory.  Austerlitz and Borda are still unharmed. Aboard the Bretagne, lookout post of the State, some new cases have been noted.  The sanitary state of the Ariege has improved. Finally, the "influenza" strikes among the crews of the vessels of the Mediterranean squadron and of the ship school of the gunners, the Crown.  On this last building, the number of cases is rather considerable. In Lille The "Progres du Nord" says that the number of sock is considerable in Lille and that the epidemic has noticeably improved for two days. Around Lille, in Hellemmes, for example, the influenza commits veritable ravages.  The working class, in particular, which the fever seemed to respect for some time, is currently very tried. Forty-two workshop workers of the North railroad engine and some thirty young people from 15 to 18 years, belonging to the apprentices' workshop, are very ill. In the communal schools, several cases are also reported. In Marseille The "Petit Marseillais," which went around the the different administrations where the conglomeration of people can aid the spreading of influenza, says that at Marseille's tobacco factories, they signal almost no sick; two or three employees at most.  It is true that this is the age of the inventory, and that of 1,200 workers, hardly 50 are busy at the moment. The personnel of the Company of tramways counts 28 sick. The postal and telegraph administration is the one that was hit the most, there are nearly fifty of the personnel confined to bed at the moment. In the customs tax service, of a personnel of about 800 people, they counted last night, at 5:00, 56 sick, and still all the information from the remote customs offices have not yet arrived. The police service has been equally affected by the epidemic.  Currently 55 peace guardians and 15 agents are counted.  Some police commissaries have been equally infected. At the mayor's office, some municipal advisors were equally affected.  Three or four workers or office boys are sick. In the prefecture, the cabinet chief of the prefect has been bed-bound for a dozen days.  Several office chiefs are equally sick as well as three or four subordinate employees. Influenza cases are also reported among the employees of the train station (33), of the Forges and Construction Sites, of the maritime Delivery Services, in several bank buildings, etc.  At the pilots' post, of 60 enrolled, there are 12 sick. Finally, of 500 customs officials, there are currently 45 sick.  The management of the customs immediately organized an infirmary where its modest servants are treated with the utmost care. In the hospitals the number of sick is equally important. The doctors are literally beseiged in their cabinet and can't be enough for the task.  Several had to stay in bed. In summary, the number of sick - grippe or influenza - is considerable. In Poitiers In Poitiers, the influenza struck equally with some severity in the military population.  The regiments were tried one after the other, the 125th infantry first, then the 20th artillery, finally the 33rd paid successively their tribute to the malady. Some cases of typhoid fever have aggravated this situation.  But the bad seems halted, numerous permissions given on this subject conjured the danger. In the civilian population, they report very few cases, however neither the superintendent of the Academy, nor the prosecutor general have received the New Year's Day occasion. In Perpignan The influenza strikes with intensity in Perpignan; the cases are very numerous among the personnel of the workshops and the stores; the police and the administrative services are completely disorganized.  The epidemic keeps an absolutely benign character. In Austria (From a correspondent) Vienna, January 2. - The influenza, which grows more every day, has become a veritable epidemic.  Most of the cases now present rather grave symptoms and are often complicated by pneumonia.  Many offices and workshops find themselves in embarrassment, numerous employees being sick with this malady.  Following the growth of the influenza, the vacations in the public schools just got prolonged until January 7. (From a correspondent) Vienna, January 2. - The epidemmic continues to strike in Vienna, the mortality which is usually 40 deaths per day, since the flu lost its benign character, reaches 110. At the Vatican (From a correspondent) Rome, January 2. - The epidemic spreads in Rome; it strikes particularly at the Vatican at this time, where, as they say, they are very alarmed. In Germany (From a correspondent) Frankfurt, January 2. - Mr. Miquel, first burgomaster of the town, is gravely suffering from the influenza, complicated by a pulmonary tuberculosis. In Spain (From a correspondent) Madrid, January 2. - The influenza epidemic continues to develop in Madrid and in the provinces; the number of deaths will rise from it.  			
154	La Lanterne	Paris				1890-01-05T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k75053696	THE EPIDEMIC Improvement. - In Paris, outside Paris, abroad. In Paris, the improvement that we reported, for not being as fast as one would desire, was not less noteworthy, especially since the temperature suffered this lowering that we noted and that the weather got really cold.  Yesterday morning, there was a much smaller blockage noticed in the consultation services in the hospitals and the entry demands were much less numerous than the preceding days. Following the disarray that still reigns in the morticians' administration, very overworked right now and still aided a little by auxiliaries for everyday service, and also, following the lack of cars and wall hangings serving at funerals, some number of burials to which they had to proceed Thursday had to be postponed, by the request of the families, to yesterday. The number of burials found itself higher by this fact for the day of Friday January 3 at [?]. High schools By a note sent to the Official Newspaper, the minister of public instruction lets it be known that the re-entry to all the high schools and colleges of Paris (boys and girls) previously set at January 5 at night, is postponed to January 12 at night for boarders, until January 13 in the morning for day students. Coach drivers The coach drivers seem to have suffered little from the epidemic.  At the Parisian Company and at the Urban, the service is done, during the holidays, as regularly as ever, and the number of sick coach drivers is no larger than normal in this season. The military At the Military School, where the influenza made itself known rather vigorously, there was a noticeable improvement in the sanitary state and the number of sick strongly tends to diminish.  We note however in the Paris garrison, which had been affected little at the start, some number of new cases fortunately without gravity. In the barracks of the Chateau-d'Eau, of the Pépiniere and of the quay of Orsay, the number of sickly people having risen, the infirmaries of these barracks are full to capacity. In Nantes Nantes, January 3. - The influenza strikes a little more these past two days.  There are two hundred sick at the infantry barracks.  Several families are affected; but there are no grave cases. The mortality number is no higher than that of the previous years. In Tulle (From a correspondent) Tulle, January 3. - Five hundred arsenal workers are infected with influenza. In Toulon (From our particular correspondent) Toulon, January 3. - The epidemic strikes with a certain intensity in our town.  The majority of reported cases degenerate into pneumonia.  The hospitals are overflowing with sick people.  A thousand arsenal workers are sick.  The doctor Payrremond, decorated in 1884 during the cholera epidemic just died.  The number of deaths suffers an alarming progression. In Algeria (From a correspondent) Algiers, January 3. - About a thousand people are infected with influenza, but without grave character.  The epidemic is focusing principally on the personnel of administrations of theaters.  The employees of the post office were the first infected. The influenza has stricken equally among the troops of the garrison. Numerous cases in the suburbs of Algiers are reported. In Austria  (From a correspondent) Vienna, January 3. - The prince Charles of Auersperg is gravely ill; he is infected with a phthisis.  The doctors are losing hope to save him. In England (From a correspondent) London, January 3. -The influenza makes constant progress in London.  At the central telegraph office, the number of absent people would already be 200.  A typography worker recently succumbed to this sickness; that's the third; and a remarkable coincidence, all three work at neighboring printing presses.  In the three cases, the influenza had degenerated into pleurisy or pneumonia. (From a correspondent) London, January 3. - The press continues to be silent on the sanitary state of the town and is content giving news on famous people who are sick, without talking about their sickness; that's how they announce that Lord Salisbury is completely recovered.  But it is nevertheless true that there are a lot of sick people in London and that the mortality has risen in strong proportions. In Russia (From a correspondent) Saint Petersburg, January 3. - We notice that there was last year and the year before that in the north of Russia, in the region of the gulf of Kara, an influenza epidemic that cost the lives of over 200,000 Russians. In Switzerland Lucerne, January 3. - The re-entry of town schools there were missing, this morning, 5 masters, 5 mistresses, 469 boys and 655 little girls, all sick with influenza.  The vacation was prolonged until January 13.  It is the same for the cantonal school.  There are 4,000 sick in Lucerne.  			
155	El Dia 	Madrid				1890-01-05T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0002269584&search=&lang=es	THE EPIDEMIC Here, with much interest, the news following Madrid and the epidemic, have without a doubt taken the development of influenza elsewhere.  To my understanding, the illness can be explained without difficulty, as the severity of influenza consists in that it thoroughly prepares the terrain (paves the road)  for the remaining bronchial and lung conditions , and Madrid being a city in which these thrive, even in ordinary times , currently the rigor of these conditions should be much higher .  In this current epidemic it is a serious responsibility to be a doctor in Paris, Dr. Brouardel , dean of the medical school, treated Ferran quite badly . This man is one of the doctors that does not emit purely medical advice, but always has to get involved in things that don’t even pertain to him, and when he involves himself in political and commercial manners, he does give himself an appearance of a charlatan and fraud instead of that of a true medic.  For our Dr, Brouardel insisted, when influenza appeared, to say that things did not matter, and thus achieved: 1. That individuals begin neglecting themselves, treat the disease lightly and then get exposed to the terrible consequences. 2. That schools, barracks and other agglomerations formed influenza as a malignant character. If this man had been more concerned in medicine and a little less on whether bonuses would be sold or not, it is probable that a few hundred people would not have perished. It is true that the fault lies with those who ignore such medical consultations, which should occupy the position of political intrigue and the skill with which flatter the passions, not their knowledge. Moreover, the epidemic appears to wreak havoc among those who commit indiscretions. I've had it, with great force and bronchial complications, and so far, said in propitious moments, tried not to breathe cold air that could cause bronchial irritation with external applications of tincture of iodine, and a few tablespoons of carbolic syrup Vial, I'm moving forward without great difficulty. The main thing is, however, not be exposed to humid air while still coughing.  			
156	Russkie vedomosti	Paris		St Petersburg		1890-01-05T00:00:00Z		Influenza in Paris. The epidemic has apparently weakened in Paris; in many quarters it has completely stopped. In the hospitals the number of sick coming for consultations has also noticeably decreased. The situation in the departments remains without change: in Burzhe, for example, the epidemic has strengthened in the last few days. Medical officers estimate the number of sick at 10,000, which makes up about one quarter of the population. In Kantal, there are also many sick people. In almost all administrative institutions a great share of service personnel are doing poorly and did not appear for work. In Brest, the situation has improved a little, but recently there have been many serious cases resulting in death. In Marsel, on December 30, there were 77 cases of death. In Aven’on, the epidemic continues to rage with its earlier force. In the schools after the holidays only one-half of the students returned…[article continues]			
157	Launceston Examiner	England		Tasmania, Australia		1890-01-06T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/39541102?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||l-textSearchScope=*ignore*%7C*ignore*|||fromdd=20|||frommm=11|||fromyyyy=1889|||todd=30|||tomm=01|||toyyyy=1890|||l-word=*ignore*%7C*ignore*|||sortby	INFLUENZA EPIDEMIC. The influenza epidemic, which has had such disastrous results, is spreading throughout England.	English	Epidemic; disastrous	
158	Intelligenzblatt und Berner Stadtblatt	Bern		Bern		1890-01-06T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	City of Bern. The best six of the series are until Friday evening (12  mistakes are allowed) 51, 44, 43, 38, 36, 36. It can scarely be said that the best known players were ready to try their best. It seems that perhaps the influenza has also been disruptive here, as everywhere else. Next Friday evening the (billiards) tournament will come to an end, and the last days will without a doubt offer the same interests and surprises.	German	sport	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/06/3/Ar00303.xml&CollName=ISB_1881_1890&DOCID=115559&PageLabelPrint=3&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=35&ViewMode=HTML
159	Intelligenzblatt und Berner Stadtblatt	London		Bern		1890-01-06T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Telegram. London, 4 Jan. The influenza  rages fiercely in London. 400 post masters are sick. The doctors believe that Salisbury was infected by the illness through the dispatches of sick messengers from Paris and St. Petersburg. (!) The influenza also rages in the United states, Mexico, and Canada.	German	postmaster, Salisbury	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/06/4/Ar00406.xml&CollName=ISB_1881_1890&DOCID=115563&PageLabelPrint=4&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=35&ViewMode=HTML
160	Intelligenzblatt und Berner Stadtblatt	Lucerne		Bern		1890-01-06T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Switzerland. Lucerne. The "Lucern Daily Newspaper" writes: "Before Christmas we had very little information about the absences in the state schools ; but when the schools were opened on Thursday, 469 boys and 655 girls were missing, so about 40 percent of the school-aged youth. Also 5 males teachers and 5 female teachers were absent. These circumstances were brought to the attention of the aldermen, who held seats, and they passed a resolution, that the holidays should be extended until the 13th of January." 4000 cases of influenza are counted in Lucerne.  In the schools of Reußbühl at Lucerne, it appeared  on the 2nd of January that only 120 of 250 schoolchildren  are still suffering from a severe cough.	German	school, morbidity	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/06/3/Ar00300.xml&CollName=ISB_1881_1890&DOCID=115557&PageLabelPrint=3&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=35&ViewMode=HTML
161	La Lanterne	Paris				1890-01-06T00:00:00Z	http://gallica.bnf.fr/ark:/12148/bpt6k7505370v	THE EPIDEMIC In the hospitals. - Deaths. - Statistics by arrondissement. - Outside Paris and abroad. The overload observed at the consultations of medicinal services of the hospices and hospitals of the town of Paris, tends from day to day to diminish, and, the number of requests left at the offices of entry or expressed by the sick themselves at the free hospital consultations, is hardly superior anymore to the one raised each year at the time of the bad season. In town, the situation is still noticeably the same, but the real cases reported with accompaniment of complications are in a much lesser proportion. The morticians' administration proceeded yesterday January 4, at 366 burials.  On the day of January 3, the number of deaths for the town of Paris rose to 432. This number breaks down by arrondissement in the following manner: 1st arrondissement, 4; 2nd, 7; 3rd, 18; 4th, 30; 5th, 15; 6th, 18; 7th, 18; 8th, 16; 9th, 7; 10th, 28; 11th, 31; 12th, 30; 13th, 17; 14th, 21; 15th, 27; 16th, 6; 17th, 19; 18th, 22; 19th, 28; 20th, 35. Total: 432.  We know that the Polytechnic School, where numerous cases had been reported, was starting their vacation some days before the time of yearly required vacations.  This school had their re-entry yesterday.  The sanitary situation is excellent and it is hardly so if some students, kept in their family by a measure of prudence, were missing yesterday at registration. Same state of affairs were reported at the Central School which, it too, had had its re-entry. A morning newspaper announces that Mr. Grevy had been sick by the "influenza."  That is not the case, and the health of the former president of the Republic is still excellent. They buried together, yesterday at the cemetery of Saint-Mandé, three victims of the epidemic: Mrs. Hoffmann, widow of a police chief, and her two daughters, grown: one of thirty-eight and the other of thirty-six years.  Mrs. Hoffmann confined herself to bed last Sunday.  A phthisis soon announced itself and the poor woman succumbed.  Her eldest daughter, taken almost at the same time, died a few hours later.  As for the younger sister, she experienced such an emotion, at this double catastrophe, that she died of shock. In the suburbs, the epidemic still strikes with some intensity. Some number of municipal advisors of Saint-Cloud were affected, and the mayor also paid his tribute to the epidemic.  The Council meetings were adjourned until further orders. Outside Paris Of all parts of the province we receive information that shows that the epidemic strikes all over with severity.  On the coastline of the Ocean and the Mediterranean, the populations are especially tested. In Germany (From a correspondent) Dortmund, January 4. - The influenza has been striking harshly among the miners for several days; the extraction of coal suffers a lot from this state of affairs. The Gazette of Rhine and of Westphalia says that the teams are currently decimated by the malady. In England (From a correspondent) London, January 4. - Four hundred postal and telegraph employees are affected by the influenza. Lord Salisbury always stays in his chambers. According to the newspapers, the doctors believe that the prime minister had caught the sickness from the dispatches of the ambassadors from Paris and from Saint-Petersburg, who had been suffering from the influenza. In Austria-Hungary (From a correspondent) Prague, January 4. - The prince Charles of Auersperg is deceased today.  The influenza continually grows.  All the hospitals are packed.  In Presbourg, the garrison especially is infected.  The archduke Frederic has been confined to bed for several days. In Spain (From a correspondent) Madrid, January 4. - The influenza epidemic continues to grow in the provinces: schools, theaters, and public establishments are closed in a large number of towns, 340 soldiers from the garrison of Vitoria were sick with the malady. A fine, sharp rain has been falling since yesterday in Madrid, where the number of deaths was 213.  The temperature has become a lot milder; everyone hopes that the rain will influence the sanitary state. In the United States (From a correspondent) New York, January 4. - Influenza is reported from different places. Several people sick with maladies that followed the influenza have committed suicide.  The schools and prisons are very tried; the deaths are numerous.  The situation would be just as unfavorable in Mexico.  Even in New York, the number of deaths for today has risen to 220, which is without precedent for the winter.  The rising of mortality is caused by bronchitis and phthisis.  The number of sick police agents is 357. In Italy (From a correspondent) Rome, January 4. - The influenza continues to make progress in all of Italy.  In Cremona, in Sienna, in Ferrari, in Florence numerous cases have been reported.  In Turin, the epidemic grows.  In Milan, at the word of the Secolo, there remain hardly any families from which one member at least is not infected.  In Verona, the postal administration, from the railroad and from the telegraph are entirely disorganized by one absence from a large number of employees.  			
163	Freiburg Nachrichten	Lucerne		Freiburg		1890-01-07T00:00:00Z		The famous water-healing practioner Father Kneip said the following about the influenza in Bad Wörishofen (Bavaria): "The influenza originates, historically, most easily and quickly through a swift temperature change. Cold and warm, and because we are softening in current times, so the rapid change of nature can also easily penetrate into a myriad of natures. The cold of the atmosphere comes into a duel with the warmth of nature, it fails especially so much easier to the disadvantage of the latter by artifical head and neck clothing and an inflammation causes in the throat, which expands to the breast, head, and lastly to the whole body. I want to make the signs of this illness clear, and introduce them through an example: Yesterday evening I was so healthy and strong and felt no trace of malaise. Today I am half paralyzed, that I am no longer able to go, and my feet tremble. I have such a headache, that I am completely dizzy. I have a stinging and burning in my throat, so that I can't swallow. For this fast influnenza attack, I give the following advice: Go to bed without delay, wash the throat, breast, and the whold body with completely cold water, and bind a dry linen cloth to the throat, and don't cover onself up neatly, but not to cumbersomely. Do this ten times in ten hours. Then the whole body should be washed with cold water as quickly as possible. From this washing comes such a sweat over the body, that the ill lay in bed as if bathed and with these sweats the last remains of the illness have also disappeared, the strenghts of the peasant servants are returned. Perhaps quite a few people ask, how these simple practices haver work on this illness? So listen, readers: The cold has received the rule in the throat and noticed an inflammation, this was hardly emerged, so streamed this fire into the blood, it brought too much blood to the head and throat, the extremities are cold and bloodless. Through the washing the pores of the skin are opened, to the skin a new warming is formed, especially through the dry poultice of the cloth. Thus an emanation came from the neck and the head and so the transfugal is discharged within the designated hour. The dry cloth attracted, the water dissolved and so everything is discharged, which had taken root. From inside the servant was given every hour a spoonful of water, which dissolved that on the inside and channeled it out. What the water and the winding of the upper body, which causes the complete washing of the whole body; all pores were opened, the warmth was increased through the washing. The warm bed directed everything in the morbid nature of the fluids and it is possbile to discard the unwelcome guest in 18 hours.   Lucerne. On last Thursday the state schools should have been reopened, 5 male teachers, 5 female teachers, 460 boys, and 650 girls were missing because they were sick with the influenza. The holidays were extended until 13 January for this reason. 	German	water healing, Kneip, remedy, symptom, school	http://doc.rero.ch/record/139129/files/1890-01-07.pdf
164	Intelligenzblatt und Berner Stadtblatt	Zurich		Bern		1890-01-07T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Switzerland.  Because of the numerous people sick with the influenza among working personnel of the Zurich street trolley, only half of the scheduled trains can be conducted during most days .	German	train	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1890/01/07/3/Ar00300.xml&CollName=ISB_1881_1890&DOCID=115594&PageLabelPrint=3&Skin=BernA&AW=1395001262469&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=40&ViewMode=HTML
